,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
0,KRW-BTC,2023-08-30T17:10:00,2023-08-31T02:10:00,36867000.0,36889000.0,36867000.0,36887000.0,1693415418915,14515168.78344,0.39363613,1
1,KRW-BTC,2023-08-30T17:09:00,2023-08-31T02:09:00,36890000.0,36890000.0,36857000.0,36889000.0,1693415398542,40943167.9797,1.11034735,1
2,KRW-BTC,2023-08-30T17:08:00,2023-08-31T02:08:00,36885000.0,36890000.0,36833000.0,36841000.0,1693415338579,40160013.08147,1.08954592,1
3,KRW-BTC,2023-08-30T17:07:00,2023-08-31T02:07:00,36871000.0,36891000.0,36849000.0,36885000.0,1693415278898,88032663.6365,2.38812246,1
4,KRW-BTC,2023-08-30T17:06:00,2023-08-31T02:06:00,36890000.0,36891000.0,36857000.0,36876000.0,1693415217008,24739998.86062,0.67083745,1
5,KRW-BTC,2023-08-30T17:05:00,2023-08-31T02:05:00,36890000.0,36892000.0,36857000.0,36891000.0,1693415159388,18540794.44545,0.50265404,1
6,KRW-BTC,2023-08-30T17:04:00,2023-08-31T02:04:00,36890000.0,36890000.0,36850000.0,36860000.0,1693415099241,137867574.23638,3.74020542,1
7,KRW-BTC,2023-08-30T17:03:00,2023-08-31T02:03:00,36872000.0,36891000.0,36872000.0,36890000.0,1693415037196,22788081.35937,0.61780077,1
8,KRW-BTC,2023-08-30T17:02:00,2023-08-31T02:02:00,36885000.0,36896000.0,36870000.0,36891000.0,1693414976080,150247014.69576,4.07300831,1
9,KRW-BTC,2023-08-30T17:01:00,2023-08-31T02:01:00,36885000.0,36897000.0,36870000.0,36886000.0,1693414920025,22249230.73634,0.60318897,1
10,KRW-BTC,2023-08-30T17:00:00,2023-08-31T02:00:00,36869000.0,36900000.0,36868000.0,36897000.0,1693414858889,42368658.0526,1.14862001,1
11,KRW-BTC,2023-08-30T16:59:00,2023-08-31T01:59:00,36900000.0,36900000.0,36869000.0,36880000.0,1693414798041,87568999.988,2.37446132,1
12,KRW-BTC,2023-08-30T16:58:00,2023-08-31T01:58:00,36883000.0,36900000.0,36880000.0,36900000.0,1693414736617,38812794.30789,1.0519834,1
13,KRW-BTC,2023-08-30T16:57:00,2023-08-31T01:57:00,36878000.0,36899000.0,36867000.0,36883000.0,1693414675508,95351814.92622,2.58534779,1
14,KRW-BTC,2023-08-30T16:56:00,2023-08-31T01:56:00,36878000.0,36878000.0,36877000.0,36878000.0,1693414619562,17754172.61171,0.48143472,1
15,KRW-BTC,2023-08-30T16:55:00,2023-08-31T01:55:00,36878000.0,36879000.0,36867000.0,36879000.0,1693414558521,28940877.20104,0.78476149,1
16,KRW-BTC,2023-08-30T16:54:00,2023-08-31T01:54:00,36881000.0,36881000.0,36866000.0,36879000.0,1693414498595,65690436.42558,1.78125595,1
17,KRW-BTC,2023-08-30T16:53:00,2023-08-31T01:53:00,36881000.0,36881000.0,36880000.0,36880000.0,1693414436967,86201615.5058,2.33731563,1
18,KRW-BTC,2023-08-30T16:52:00,2023-08-31T01:52:00,36880000.0,36881000.0,36846000.0,36880000.0,1693414379969,35045893.88048,0.95033065,1
19,KRW-BTC,2023-08-30T16:51:00,2023-08-31T01:51:00,36865000.0,36883000.0,36844000.0,36881000.0,1693414319404,37987446.18647,1.03046997,1
20,KRW-BTC,2023-08-30T16:50:00,2023-08-31T01:50:00,36866000.0,36866000.0,36844000.0,36865000.0,1693414258294,23806820.84468,0.64579076,1
21,KRW-BTC,2023-08-30T16:49:00,2023-08-31T01:49:00,36838000.0,36868000.0,36814000.0,36839000.0,1693414200018,40998683.9261,1.11276263,1
22,KRW-BTC,2023-08-30T16:48:00,2023-08-31T01:48:00,36838000.0,36838000.0,36814000.0,36838000.0,1693414136180,67180788.27151,1.82428564,1
23,KRW-BTC,2023-08-30T16:47:00,2023-08-31T01:47:00,36862000.0,36862000.0,36814000.0,36838000.0,1693414078566,38336866.3479,1.04087637,1
24,KRW-BTC,2023-08-30T16:46:00,2023-08-31T01:46:00,36871000.0,36873000.0,36824000.0,36858000.0,1693414019223,83745982.28267,2.27171836,1
25,KRW-BTC,2023-08-30T16:45:00,2023-08-31T01:45:00,36870000.0,36873000.0,36851000.0,36871000.0,1693413958153,41081312.06331,1.11430986,1
26,KRW-BTC,2023-08-30T16:44:00,2023-08-31T01:44:00,36873000.0,36873000.0,36838000.0,36870000.0,1693413897127,68293126.31228,1.85320442,1
27,KRW-BTC,2023-08-30T16:43:00,2023-08-31T01:43:00,36876000.0,36900000.0,36839000.0,36840000.0,1693413839840,77215373.34365,2.09412153,1
28,KRW-BTC,2023-08-30T16:42:00,2023-08-31T01:42:00,36861000.0,36876000.0,36852000.0,36876000.0,1693413780011,31466527.9245,0.85344946,1
29,KRW-BTC,2023-08-30T16:41:00,2023-08-31T01:41:00,36867000.0,36881000.0,36819000.0,36862000.0,1693413718921,45218095.30556,1.22642294,1
30,KRW-BTC,2023-08-30T16:40:00,2023-08-31T01:40:00,36847000.0,36867000.0,36813000.0,36867000.0,1693413657915,31551548.78123,0.85629434,1
31,KRW-BTC,2023-08-30T16:39:00,2023-08-31T01:39:00,36800000.0,36854000.0,36793000.0,36847000.0,1693413596851,99618615.21686,2.70502166,1
32,KRW-BTC,2023-08-30T16:38:00,2023-08-31T01:38:00,36800000.0,36825000.0,36787000.0,36800000.0,1693413535892,97463914.952,2.64874679,1
33,KRW-BTC,2023-08-30T16:37:00,2023-08-31T01:37:00,36856000.0,36875000.0,36800000.0,36815000.0,1693413479882,72027979.40244,1.95578273,1
34,KRW-BTC,2023-08-30T16:36:00,2023-08-31T01:36:00,36895000.0,36895000.0,36855000.0,36876000.0,1693413418767,55277414.13678,1.49930453,1
35,KRW-BTC,2023-08-30T16:35:00,2023-08-31T01:35:00,36878000.0,36909000.0,36860000.0,36895000.0,1693413357738,43659652.05634,1.18393376,1
36,KRW-BTC,2023-08-30T16:34:00,2023-08-31T01:34:00,36882000.0,36882000.0,36860000.0,36878000.0,1693413298695,33214729.65841,0.9008664,1
37,KRW-BTC,2023-08-30T16:33:00,2023-08-31T01:33:00,36916000.0,36916000.0,36864000.0,36864000.0,1693413238950,24681389.43557,0.66898643,1
38,KRW-BTC,2023-08-30T16:32:00,2023-08-31T01:32:00,36883000.0,36928000.0,36883000.0,36916000.0,1693413179608,26061243.56474,0.70599632,1
39,KRW-BTC,2023-08-30T16:31:00,2023-08-31T01:31:00,36903000.0,36928000.0,36883000.0,36923000.0,1693413118610,44071877.2369,1.19384806,1
40,KRW-BTC,2023-08-30T16:30:00,2023-08-31T01:30:00,36925000.0,36930000.0,36877000.0,36928000.0,1693413057585,37321369.63614,1.0110058,1
41,KRW-BTC,2023-08-30T16:29:00,2023-08-31T01:29:00,36900000.0,36930000.0,36889000.0,36929000.0,1693412998187,38328647.82428,1.0380994,1
42,KRW-BTC,2023-08-30T16:28:00,2023-08-31T01:28:00,36876000.0,36893000.0,36864000.0,36893000.0,1693412939537,50487031.33735,1.36892511,1
43,KRW-BTC,2023-08-30T16:27:00,2023-08-31T01:27:00,36872000.0,36893000.0,36864000.0,36876000.0,1693412879399,56801539.38857,1.54027799,1
44,KRW-BTC,2023-08-30T16:26:00,2023-08-31T01:26:00,36875000.0,36904000.0,36872000.0,36893000.0,1693412817952,29245077.18606,0.79279873,1
45,KRW-BTC,2023-08-30T16:25:00,2023-08-31T01:25:00,36909000.0,36912000.0,36875000.0,36876000.0,1693412757881,33550272.47367,0.90915549,1
46,KRW-BTC,2023-08-30T16:24:00,2023-08-31T01:24:00,36870000.0,36909000.0,36870000.0,36909000.0,1693412695916,34428711.59675,0.93313006,1
